hidden input,hidden output,question,sample_input,sample_output
"""{'s1': {5, 6, 7, 8, 9}, 's2': {8, 9}}""","""{5, 6, 7}""","""Given sets s1 and s2, Write code so that result is equal to the difference of set s1 to s2\n\nInput:\n- s1: First set\n- s2: Second set""","""{'s1': {40, 10, 20, 30}, 's2': {40, 50, 30}}""","""{10, 20}"""
"""{'numbers': [1, 2, 3, 4, 5, 6]}""",12,Calculate the sum of all even numbers in a list.\n\nInput:\n- numbers: A list of integers,"""{'numbers': [10, 15, 20, 25, 30]}""",60
{'encoded_message': 'Aoohe fmznCdWiprri ua esesn'},Amazon CodeWhisperer is fun,"""Implement the rail fence cipher decoding.\n  In the Rail Fence cipher, the message is written downwards on successive """"rails"""" of an imaginary fence, then moving up when we get to the bottom (like a zig-zag). Finally the message is then read off in rows.\n\n For example, using three """"rails"""" and the message """"WE ARE DISCOVERED FLEE AT ONCE"""", the cipherer writes out:\n W . . . E . . . C . . . R . . . L . . . T . . . E\n . E . R . D . S . O . E . E . F . E . A . O . C .\n . . A . . . I . . . V . . . D . . . E . . . N . .\n Then reads off: WECRLTEERDSOEEFEAOCAIVDEN.\n\nInput:\n- encoded_message: Encoded message to decode using a three rail fence cipher""",{'encoded_message': 'Horel ollWd'},Hello World
"""{'stateMachine': {'states': {'Start': {'type': 'Task', 'transform': 'double', 'next': 'CheckValue'}, 'CheckValue': {'type': 'Choice', 'condition': {'operator': 'greaterThan', 'field': 'value', 'value': 50}, 'true': 'HighValue', 'false': 'LowValue'}, 'HighValue': {'type': 'Task', 'transform': 'add10', 'end': True}, 'LowValue': {'type': 'Task', 'transform': 'multiply5', 'end': True}}, 'transformations': {'double': {'operation': 'multiply', 'by': 2}, 'add10': {'operation': 'add', 'value': 10}, 'multiply5': {'operation': 'multiply', 'by': 5}}}, 'inputValue': {'value': 30}}""",{'value': 70},"""Simulate an AWS Step Functions workflow execution.\n\nYou're given a state machine definition and an input value. The state machine has the following structure:\n- """"states"""": A dictionary where each key is a state name and value is a state definition\n- """"transformations"""": A dictionary mapping function names to operation types and parameters\n\nEach state can be one of two types: """"Task"""" or """"Choice""""\n- Task states have: """"type"""", """"transform"""" (name of function to apply), and either """"next"""" (name of next state) or """"end: True""""\n- Choice states have: """"type"""", """"condition"""" (an object defining the condition), """"true"""" (next state if condition is true), and """"false"""" (next state if condition is false)\n\nEach transformation is defined as a dictionary with an """"operation"""" key and optional parameters. The supported operations are:\n- """"multiply"""": Multiply the input value by the """"by"""" parameter\n- """"add"""": Add the """"value"""" parameter to the input\n- """"square"""": Square the input value (no parameters needed)\n\nCondition objects have an """"operator"""", a """"field"""" to check, and other parameters specific to the operator. Supported condition operators include:\n- """"equals"""": Check if field equals a value (params: field, value)\n- """"notEquals"""": Check if field does not equal a value (params: field, value)\n- """"greaterThan"""": Check if field is greater than a value (params: field, value)\n- """"lessThan"""": Check if field is less than a value (params: field, value)\n- """"greaterThanEquals"""": Check if field is greater than or equal to a value (params: field, value)\n- """"lessThanEquals"""": Check if field is less than or equal to a value (params: field, value)\n- """"isEven"""": Check if field is even (params: field)\n- """"isOdd"""": Check if field is odd (params: field)\n- """"isDivisibleBy"""": Check if field is divisible by a value (params: field, divisor)\n\nExecute the workflow by:\n1. Starting at the """"Start"""" state with the provided input value\n2. For Task states: apply the specified transformation to the input\n3. For Choice states: evaluate the condition and determine the next state\n4. Continue until reaching a state with """"end: True""""\n5. Return the final transformed value\n\nInput:\n- stateMachine: State machine definition with states and transformations\n- inputValue: Initial input object with a """"value"""" field""","""{'stateMachine': {'states': {'Start': {'type': 'Task', 'transform': 'increment', 'next': 'CheckEven'}, 'CheckEven': {'type': 'Choice', 'condition': {'operator': 'isEven', 'field': 'value'}, 'true': 'EvenPath', 'false': 'OddPath'}, 'EvenPath': {'type': 'Task', 'transform': 'square', 'end': True}, 'OddPath': {'type': 'Task', 'transform': 'triple', 'end': True}}, 'transformations': {'increment': {'operation': 'add', 'value': 1}, 'square': {'operation': 'square'}, 'triple': {'operation': 'multiply', 'by': 3}}}, 'inputValue': {'value': 5}}""",{'value': 36}
"""{'a1': [(1, 2), (3, 3), (1, 1)]}""","""[(1, 1), (1, 2), (3, 3)]""",Given the array of tuples. Write code so that result is equal to the array ordered by the second value of each tuple\n\nInput:\n- a1: An array of tuples,"""{'a1': [(5, 10), (2, 5), (9, 7)]}""","""[(2, 5), (9, 7), (5, 10)]"""
"""{'keys': ['images/logo.png', 'images/profile/user1.jpg', 'images/banner.gif']}""",images/,"""Implement a Longest Common Prefix algorithm for S3 object keys.\n Given a list of S3 object keys, find the longest common prefix.\n This is useful for identifying common paths in an S3 bucket for organization purposes.\n\nInput:\n- keys: List of S3 object keys""","""{'keys': ['data/users/user1.json', 'data/users/user2.json', 'data/users/user3.json']}""",data/users/
"""{'a': 3, 'b': 4}""",81,Given variables a and b. Write code so that result is equal to a to the power of b\n\nInput:\n- a: First number\n- b: Second number,"""{'a': 2, 'b': 3}""",8
"""{'resources': ['VPC', 'Subnet', 'SecurityGroup', 'EC2Instance', 'RDSInstance', 'ElasticLoadBalancer'], 'dependencies': [['Subnet', 'VPC'], ['SecurityGroup', 'VPC'], ['EC2Instance', 'Subnet'], ['EC2Instance', 'SecurityGroup'], ['RDSInstance', 'Subnet'], ['RDSInstance', 'SecurityGroup'], ['ElasticLoadBalancer', 'EC2Instance']]}""","""['VPC', 'Subnet', 'SecurityGroup', 'EC2Instance', 'RDSInstance', 'ElasticLoadBalancer']""","""Implement a topological sort for AWS resource deployments.\n You're given a list of AWS resources and their dependencies. Return a valid deployment order that ensures all dependencies are deployed first.\n A dependency is represented as [resource, depends_on], meaning """"resource"""" depends on """"depends_on"""".\n\nInput:\n- resources: List of resources\n- dependencies: List of dependency pairs""","""{'resources': ['DynamoDBTable', 'LambdaFunction', 'APIGateway', 'IAMRole'], 'dependencies': [['LambdaFunction', 'IAMRole'], ['APIGateway', 'LambdaFunction']]}""","""['DynamoDBTable', 'IAMRole', 'LambdaFunction', 'APIGateway']"""
"""{'a': 20, 'b': 30, 'c': 15}""",65,"""Given 3 variables, write code so that result = the sum of the 3 numbers.\n\nInput:\n- a: First number\n- b: Second number\n- c: Third number""","""{'a': 13, 'b': 17, 'c': 10}""",40
{'a': 4},"""[[1, 2, 3, 4], [12, 13, 14, 5], [11, 16, 15, 6], [10, 9, 8, 7]]""",Compute Spiral Matrix.\n Write code so that result is equal to a square matrix of numbers in spiral order.\n\nInput:\n- a: An integer indicating the size of the matrix (columns == rows),{'a': 3},"""[[1, 2, 3], [8, 9, 4], [7, 6, 5]]"""
